"ANO","NIVEL","CODMUNRES","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F"
2015,"UF",11,0.706,0.69,0.659,0.681
2015,"MUNICIPIO",1100015,NA,0.641,NA,NA
2015,"MUNICIPIO",1100379,NA,0.592,NA,NA
2015,"MUNICIPIO",1100403,NA,0.678,NA,NA
2015,"MUNICIPIO",1100346,NA,0.643,NA,NA
2015,"MUNICIPIO",1100023,NA,0.702,NA,NA
2015,"MUNICIPIO",1100452,NA,0.672,NA,NA
2015,"MUNICIPIO",1100031,NA,0.65,NA,NA
2015,"MUNICIPIO",1100601,NA,0.646,NA,NA
2015,"MUNICIPIO",1100049,NA,0.718,NA,NA
2015,"MUNICIPIO",1100700,NA,0.593,NA,NA
2015,"MUNICIPIO",1100809,NA,0.649,NA,NA
2015,"MUNICIPIO",1100908,NA,0.658,NA,NA
2015,"MUNICIPIO",1100056,NA,0.692,NA,NA
2015,"MUNICIPIO",1100924,NA,0.652,NA,NA
2015,"MUNICIPIO",1100064,NA,0.685,NA,NA
2015,"MUNICIPIO",1100072,NA,0.613,NA,NA
2015,"MUNICIPIO",1100080,NA,0.611,NA,NA
2015,"MUNICIPIO",1100940,NA,0.612,NA,NA
2015,"MUNICIPIO",1100098,NA,0.672,NA,NA
2015,"MUNICIPIO",1101005,NA,0.596,NA,NA
2015,"MUNICIPIO",1100106,NA,0.657,NA,NA
2015,"MUNICIPIO",1101104,NA,0.614,NA,NA
2015,"MUNICIPIO",1100114,NA,0.689,NA,NA
2015,"MUNICIPIO",1100122,NA,0.714,NA,NA
2015,"MUNICIPIO",1100130,NA,0.596,NA,NA
2015,"MUNICIPIO",1101203,NA,0.638,NA,NA
2015,"MUNICIPIO",1101302,NA,0.643,NA,NA
2015,"MUNICIPIO",1101401,NA,0.607,NA,NA
2015,"MUNICIPIO",1100148,NA,0.643,NA,NA
2015,"MUNICIPIO",1100338,NA,0.587,NA,NA
2015,"MUNICIPIO",1101435,NA,0.662,NA,NA
2015,"MUNICIPIO",1100502,NA,0.634,NA,NA
2015,"MUNICIPIO",1100155,NA,0.682,NA,NA
2015,"MUNICIPIO",1101450,NA,0.617,NA,NA
2015,"MUNICIPIO",1100189,NA,0.71,NA,NA
2015,"MUNICIPIO",1101468,NA,0.665,NA,NA
2015,"MUNICIPIO",1100205,NA,0.736,NA,NA
2015,"MUNICIPIO",1100254,NA,0.591,NA,NA
2015,"MUNICIPIO",1101476,NA,0.641,NA,NA
2015,"MUNICIPIO",1100262,NA,0.643,NA,NA
2015,"MUNICIPIO",1100288,NA,0.7,NA,NA
2015,"MUNICIPIO",1100296,NA,0.67,NA,NA
2015,"MUNICIPIO",1101484,NA,0.649,NA,NA
2015,"MUNICIPIO",1101492,NA,0.611,NA,NA
2015,"MUNICIPIO",1100320,NA,0.646,NA,NA
2015,"MUNICIPIO",1101500,NA,0.598,NA,NA
2015,"MUNICIPIO",1101559,NA,0.643,NA,NA
2015,"MUNICIPIO",1101609,NA,0.589,NA,NA
2015,"MUNICIPIO",1101708,NA,0.609,NA,NA
2015,"MUNICIPIO",1101757,NA,0.584,NA,NA
2015,"MUNICIPIO",1101807,NA,0.627,NA,NA
2015,"MUNICIPIO",1100304,NA,0.731,NA,NA
