"ANO","NIVEL","CODMUNRES","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGSC","TGCC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TPV","TPC","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAPG5_B","TRAPG5_N","APG5_MD","APG5_DP","TRAC","TRSAC"
2015,"UF",11,27918,0,2662312,226,5411,8045,6991,4780,2025,418,21,1,27691,20,25,30,25.32,6.24,99,1615,8058,12029,1816,3015,6753,1069,116,17818,390,8803,18546,0,0,27378,472,10,90,179,2253,22292,807,2532,22292,807,38,39,40,38.62,2.11,69,4832,2120,2359,13051,7748,20170,9201,18667,25823,776,56,6253,2023,5141,866,7021,284,388,464,56,2093,27035,744,83,54,0,14324,13592,7091,1090,120,18228,391,1893,24355,1668,2960,3265,3570,3238.16,540.42,1699,20555,3082,27721,0,9.23,0.76,210,27322
2015,"MUNICIPIO",110001,373,0,334,1,73,129,80,68,20,2,0,0,372,20,24,29,24.88,5.84,1,31,134,148,18,37,117,8,0,203,25,93,275,0,0,362,9,0,3,3,30,327,6,36,327,6,38,39,40,38.56,2.22,0,59,26,52,200,279,94,102,271,361,10,0,105,22,70,9,116,5,3,9,0,28,369,1,1,1,0,210,163,117,8,0,203,25,22,329,22,2980,3275,3560,3255.06,547.34,26,301,40,372,0,9.03,0.73,2,366
2015,"MUNICIPIO",110002,1783,0,1223,15,370,527,467,271,110,23,0,0,1768,20,24,29,24.9,6.06,1,61,347,627,89,139,406,58,9,794,2,321,1444,0,0,1762,19,1,3,7,119,1599,38,130,1599,38,38,39,41,39.15,2.07,3,236,141,154,637,315,1468,504,1278,1244,34,2,223,221,208,86,373,12,19,19,2,108,1653,127,0,3,0,938,845,614,76,11,1060,2,109,1569,105,2960,3250,3560,3240.92,535.77,150,1410,191,1781,0,9.68,0.72,4,1774
2015,"MUNICIPIO",110003,86,0,80,0,15,22,26,15,7,1,0,0,86,21,25,30,25.57,5.89,0,4,21,44,5,7,29,2,1,51,0,42,44,0,0,84,2,0,0,0,4,80,0,4,80,0,38,39,40,38.92,1.47,0,12,6,10,53,80,6,18,68,80,0,0,26,3,16,1,29,0,0,2,0,2,86,0,0,0,0,44,42,31,2,1,51,0,2,73,11,3096.25,3275,3615,3346.79,492.18,3,67,14,86,0,9.24,0.75,0,86
2015,"MUNICIPIO",110004,1360,0,1300,3,212,378,373,267,108,16,3,0,1357,21,26,30,26.02,6.12,3,59,335,623,127,203,445,78,0,800,34,275,1079,0,0,1332,27,0,6,7,144,1133,43,157,1133,43,38,39,39,38.34,2.07,0,205,100,121,877,279,1081,256,1104,1309,41,3,385,103,209,44,387,13,22,25,3,136,1352,2,6,0,0,683,677,445,78,0,800,34,99,1208,53,2910,3215,3500,3183.9,513.99,96,1079,141,1354,0,9.28,0.65,6,1352
2015,"MUNICIPIO",110005,277,0,260,2,39,87,74,50,21,4,0,0,275,21,25,30,25.85,5.95,0,14,68,116,35,34,108,8,0,148,0,113,159,0,0,267,9,0,0,1,13,251,3,14,251,3,38,39,40,38.74,1.41,0,37,18,32,171,159,118,64,213,252,8,0,64,33,37,14,86,3,3,9,0,10,275,2,0,0,0,129,148,113,8,0,153,0,17,248,12,2945,3255,3530,3226.13,457.45,17,229,21,276,0,9.2,0.89,2,275
2015,"MUNICIPIO",110006,251,0,246,0,44,66,63,55,20,2,1,0,251,21,26,30,25.87,6.18,1,8,51,117,22,50,76,5,2,167,0,118,131,0,0,246,5,0,0,1,18,226,5,19,226,5,38,39,39,38.49,1.77,0,33,15,12,186,244,7,67,184,233,5,0,71,18,50,10,68,4,1,5,0,10,251,0,0,0,0,138,113,76,5,2,167,0,20,222,9,2865,3200,3487.5,3139.75,554.64,19,215,16,251,0,9.3,0.61,2,249
2015,"MUNICIPIO",110007,111,0,102,1,22,35,26,19,7,1,0,0,110,20,24,29,25.02,6.27,0,13,41,38,5,9,31,5,0,69,0,48,63,0,0,111,0,0,0,0,1,105,1,1,105,1,38,39,40,38.95,1.03,0,14,5,12,75,110,1,26,85,97,1,2,23,13,23,2,34,1,0,0,2,1,111,0,0,0,0,62,49,34,5,0,69,0,5,104,2,3010,3320,3537.5,3250.1,425.94,9,94,4,111,0,9.28,0.56,1,110
2015,"MUNICIPIO",110008,245,0,218,4,75,69,55,26,13,3,0,0,241,19,22,28,23.59,6.19,1,27,104,86,9,14,41,16,1,165,4,67,166,0,0,242,2,0,2,1,26,202,12,29,202,12,38,39,40,38.73,2.34,0,56,15,26,134,193,52,89,155,234,5,1,63,7,66,4,64,1,4,2,1,28,244,1,0,0,0,133,112,41,16,1,165,4,16,215,14,3000,3280,3620,3278.14,515.44,17,188,33,244,0,8.79,0.9,1,239
2015,"MUNICIPIO",110009,548,0,465,1,102,175,130,98,34,8,0,0,547,21,24,30,25.17,6.03,3,54,187,183,24,66,197,29,0,284,31,70,439,0,0,547,0,1,1,5,40,412,31,47,412,31,38,39,40,38.7,2.31,0,117,42,51,325,123,425,82,465,542,5,0,26,6,75,2,329,1,4,0,0,46,545,1,1,1,0,295,253,197,29,0,284,31,27,487,34,3050,3299.5,3595,3300.75,481.84,31,374,67,546,0,9,0.68,0,547
2015,"MUNICIPIO",110010,831,0,765,12,169,238,174,142,69,26,1,0,819,20,24,30,25.49,6.86,6,73,344,310,28,65,92,37,2,528,160,674,147,0,0,817,13,2,5,16,106,630,61,129,630,61,38,39,40,38.58,2.9,28,103,190,118,294,61,770,515,316,800,24,2,199,5,300,7,152,8,11,13,2,118,808,1,20,2,0,430,401,92,37,2,529,160,52,701,78,3000,3300,3650,3291.62,570.04,50,575,156,807,0,9.15,0.8,5,821
2015,"MUNICIPIO",110011,788,0,687,4,122,244,215,149,46,8,0,0,784,21,25,30,25.52,5.79,3,53,188,398,51,77,249,29,1,479,4,160,618,0,0,771,17,0,1,3,36,666,33,40,666,33,38,39,40,38.81,1.83,1,104,44,76,470,327,461,199,588,759,12,0,200,111,107,3,248,5,4,17,0,31,783,4,0,1,0,398,390,258,29,1,481,4,48,687,53,2963.75,3252.5,3550,3248.16,524.24,40,610,83,787,0,9.16,0.6,4,777
2015,"MUNICIPIO",110012,2094,0,1933,12,354,575,538,400,181,31,3,0,2082,21,25,31,25.89,6.27,9,84,584,940,164,249,568,114,14,1335,44,374,1680,0,0,2057,31,0,6,12,183,1782,51,201,1782,51,38,39,40,38.54,1.95,2,381,207,194,1168,158,1936,694,1397,2017,65,0,510,211,373,103,568,23,33,31,0,169,2082,8,2,2,0,1079,1015,568,114,14,1335,44,141,1841,112,2955.75,3249.5,3550,3224.4,539.51,122,1685,225,2091,0,9.11,0.66,27,2053
2015,"MUNICIPIO",110013,480,0,413,4,118,159,111,63,22,3,0,0,476,19,23,28,23.95,5.85,5,55,170,158,25,23,78,41,1,320,0,120,351,0,0,473,7,0,0,4,50,394,22,54,394,22,38,39,40,38.89,2.06,3,93,22,27,240,195,285,204,276,426,14,2,87,46,109,26,97,6,8,7,2,45,466,9,4,1,0,270,210,90,41,1,341,0,38,412,29,2955,3240,3560,3226.38,538.99,40,361,57,477,0,9.44,0.8,3,470
2015,"MUNICIPIO",110014,256,0,241,1,49,76,67,47,16,0,0,0,255,21,25,29,25.07,5.79,1,25,84,111,5,25,127,6,0,116,0,49,206,0,0,252,4,1,1,3,21,220,10,26,220,10,38,38,39,38.21,2.33,0,47,16,42,142,83,173,28,228,229,19,6,76,9,29,3,88,9,10,4,6,20,254,1,1,0,0,123,133,127,6,0,116,0,14,235,7,2977.5,3220,3448.75,3182.79,499.62,10,218,25,256,0,8.69,0.73,1,255
2015,"MUNICIPIO",110015,767,0,537,1,134,217,203,151,53,8,0,0,766,21,25,30,25.65,6.02,0,35,227,370,44,82,269,30,1,454,1,140,616,0,0,748,14,0,3,3,40,512,10,46,512,10,38,39,40,38.45,1.86,1,105,45,59,465,120,647,150,613,742,13,3,194,18,100,10,182,5,7,13,3,36,764,3,0,0,0,388,379,270,30,1,454,1,38,693,36,2950,3270,3547.5,3235.96,517.51,41,462,63,766,0,9.28,0.76,3,763
2015,"MUNICIPIO",110018,594,0,515,3,139,166,148,86,45,7,0,0,591,20,24,29,24.78,6.15,1,24,145,291,58,71,172,27,16,329,2,187,376,0,0,583,11,0,3,1,55,501,19,59,501,19,38,39,40,38.47,2.02,1,105,42,50,379,166,428,99,495,575,17,0,190,29,98,6,183,5,10,11,0,49,594,0,0,0,0,322,272,172,27,16,329,2,37,527,30,2984.25,3235,3533.75,3215.53,527.01,38,477,63,594,0,9.22,1.06,3,590
2015,"MUNICIPIO",110020,9093,0,6408,101,1792,2472,2203,1624,730,166,5,0,8992,20,25,30,25.49,6.45,40,422,2577,4051,682,1089,1508,266,22,6686,42,3251,5591,0,0,8886,174,2,28,71,818,6418,231,919,6418,231,38,39,40,38.55,2.22,7,1882,627,571,2703,365,8728,4199,4866,8541,295,13,1892,514,2019,269,1614,101,142,172,13,748,9010,41,32,10,0,4688,4403,1515,266,22,6690,42,687,7735,670,2970,3300,3615,3258.64,572.84,475,5911,1092,8992,0,9.2,0.72,79,8748
2015,"MUNICIPIO",110025,262,0,236,4,37,70,71,53,21,5,1,0,258,21.25,26,30.75,26.19,6.32,0,11,80,102,25,31,77,10,1,167,1,56,202,0,0,257,4,0,1,1,18,224,12,20,224,12,38,39,39,38.51,1.95,1,43,15,28,160,253,9,75,187,247,13,0,68,15,38,11,88,7,6,4,0,17,260,1,1,0,0,118,144,77,10,1,167,1,19,229,14,2901,3200,3565,3199.11,553.98,21,202,31,262,0,9.13,0.75,6,256
2015,"MUNICIPIO",110026,36,0,21,0,9,11,11,3,1,1,0,0,36,19.75,23.5,28,24.17,5.52,0,0,6,12,2,1,12,0,0,9,0,8,28,0,0,36,0,0,0,1,0,35,0,1,35,0,38.75,39.5,41,39.36,2.15,0,3,3,0,13,36,0,8,28,20,1,0,1,6,3,2,7,0,1,0,0,1,36,0,0,0,0,13,23,16,0,0,20,0,4,31,1,2800,3217.5,3475,3122.36,592.08,4,30,2,36,0,9.61,0.49,0,36
2015,"MUNICIPIO",110028,936,0,894,7,174,276,249,160,52,18,0,0,929,21,25,29,25.31,6.05,2,32,237,444,75,140,305,34,2,563,1,187,737,0,0,924,12,1,5,8,59,829,30,73,829,30,38,39,40,38.62,2.06,2,127,86,112,567,227,709,122,814,913,17,3,312,70,114,25,311,7,9,12,3,66,932,1,2,1,0,472,464,305,34,2,563,1,53,844,39,3005,3250,3531.25,3234.04,506.51,55,766,99,935,0,9.04,0.65,6,930
